food_name,moisture_content,ideal_temp,preservation_methods,shelf_life_days,dietary_tag,packaging_type,humidity_sensitive
Fennel,Very High (90%),0Â°C,Refrigeration,5-7,"Vegan, Gluten-Free, Vegetable",Loose,Yes (High humidity prevents wilting)
Bok Choy,Extremely High (95%),0Â°C,Refrigeration,5-7,"Vegan, Gluten-Free, Leafy Green",Perforated bag,Yes (Requires high humidity to stay crisp)
Swiss Chard,Very High (93%),0Â°C,"Refrigeration, Damp towel",3-5,"Vegan, Gluten-Free, Leafy Green","Bundled, Bag",Yes (Extremely prone to wilting)
Collard Greens,Very High (90%),0Â°C,Refrigeration,5-7,"Vegan, Gluten-Free, Leafy Green","Bundled, Bag",Yes (Requires high humidity to prevent wilting)
Mustard Greens,Very High (92%),0Â°C,Refrigeration,3-5,"Vegan, Gluten-Free, Leafy Green","Bundled, Bag",Yes (Requires high humidity to prevent wilting)
Arugula,Very High (92%),0Â°C,"Refrigeration, Dry storage",2-4,"Vegan, Gluten-Free, Leafy Green","Clamshell, Bag","Yes (Wilts easily, but rots if too wet)"
Endive,Extremely High (94%),0Â°C,Refrigeration,5-7,"Vegan, Gluten-Free, Leafy Green","Loose, Bag",Yes (High humidity keeps it crisp)
Jicama,Very High (85%),12-15Â°C,"Cool, dry place, Do not refrigerate",14-21,"Vegan, Gluten-Free, Root",Loose,Yes (Prefers moderate humidity)
Kohlrabi,Very High (91%),0Â°C,"Refrigeration, Remove leaves",14-21,"Vegan, Gluten-Free, Cruciferous",Loose,Yes (High humidity prevents it from drying out)
Rhubarb,Extremely High (95%),0Â°C,"Refrigeration, Loosely wrapped",5-7,"Vegan, Gluten-Free, Vegetable","Loose, Bundled",Yes (Prone to moisture loss and wilting)
Watercress,Extremely High (95%),0Â°C,"Refrigeration, in water",2-4,"Vegan, Gluten-Free, Leafy Green","Bag, with root ball",Yes (Extremely prone to wilting)
Apricot,Very High (86%),0Â°C,"Refrigeration, Ripen at room temp",3-5,"Vegan, Gluten-Free, Stone Fruit","Tray pack, Clamshell",Yes (Sensitive to shriveling)
Blackberry,Very High (88%),0-2Â°C,"Refrigeration, Do not wash until use",2-3,"Vegan, Gluten-Free, Berry",Clamshell container,Yes (Very prone to mold)
Cherry,Very High (82%),0Â°C,Refrigeration,4-7,"Vegan, Gluten-Free, Stone Fruit","Pouch bag, Clamshell",Yes (High humidity prevents stem drying)
Cranberry,Very High (87%),0-2Â°C,Refrigeration,30-60,"Vegan, Gluten-Free, Berry",Vented bag,Yes (Good air circulation needed)
Fig,High (79%),0Â°C,"Refrigeration, Use quickly",2-3,"Vegan, Gluten-Free, Fruit","Clamshell, Tray pack","Yes (Very perishable, sensitive to moisture)"
Grapefruit,Very High (91%),10-15Â°C,Refrigeration or Cool room temp,14-21,"Vegan, Gluten-Free, Citrus","Loose, Mesh bag",Yes (Can lose moisture over time)
Guava,Very High (81%),5-10Â°C,Refrigeration when ripe,3-5,"Vegan, Gluten-Free, Tropical","Foam net, Tray pack",Yes (Sensitive during ripening)
Honeydew Melon,Very High (90%),7-10Â°C,Refrigerate when cut,7-10,"Vegan, Gluten-Free, Melon",Loose,No (Thick rind protects it)
Lime,Very High (88%),10-13Â°C,Refrigeration,21-30,"Vegan, Gluten-Free, Citrus","Loose, Mesh bag",Yes (High humidity prevents drying out)
Mandarin Orange,Very High (85%),4-7Â°C,Refrigeration,7-14,"Vegan, Gluten-Free, Citrus","Mesh bag, Crate",Yes (Can dry out if left in open air)
Nectarine,Very High (88%),0Â°C,"Refrigeration, Ripen at room temp",3-5,"Vegan, Gluten-Free, Stone Fruit","Tray pack, Loose",Yes (Sensitive to shriveling in low humidity)
Papaya,Very High (88%),10-13Â°C,Refrigerate when ripe,2-5,"Vegan, Gluten-Free, Tropical","Loose, Foam net",Yes (Sensitive during ripening)
Passion Fruit,High (73%),7-10Â°C,Refrigeration,7-14,"Vegan, Gluten-Free, Tropical","Loose, Box",Yes (Skin will wrinkle as it loses moisture)
Persimmon,Very High (80%),0Â°C,Refrigeration,3-5,"Vegan, Gluten-Free, Berry",Tray pack,Yes (Can lose moisture)
Pomegranate,Very High (83%),5-7Â°C,Refrigeration,30-60,"Vegan, Gluten-Free, Fruit","Loose, Box",Yes (Low humidity can cause hardening)
Dragon Fruit,Very High (87%),7-10Â°C,Refrigeration,5-7,"Vegan, Gluten-Free, Tropical",Loose,Yes (Can lose moisture through the skin)
Star Fruit,Very High (91%),5-10Â°C,Refrigeration when ripe,4-7,"Vegan, Gluten-Free, Tropical","Tray pack, Plastic wrap",Yes (Prone to moisture loss)
Tangerine,Very High (85%),4-7Â°C,Refrigeration,7-14,"Vegan, Gluten-Free, Citrus","Mesh bag, Crate",Yes (Can dry out if left in open air)
Plantain,Medium (65%),12-14Â°C,"Room Temp, Do not refrigerate",5-10,"Vegan, Gluten-Free, Fruit",Loose,Yes (Humidity affects ripening speed)
Kumquat,Very High (81%),4-7Â°C,Refrigeration,14-21,"Vegan, Gluten-Free, Citrus",Clamshell,Yes (Can lose moisture quickly)
Jackfruit,High (74%),13-15Â°C,Refrigerate after cutting,3-7,"Vegan, Gluten-Free, Tropical","Loose, Tray pack (cut)",No (Whole fruit is well protected)
Durian,Medium (65%),13-15Â°C,"Refrigerate, Airtight container",2-5,"Vegan, Gluten-Free, Tropical, High Fat",Loose,Yes (Loses moisture after being opened)
Rambutan,Very High (82%),8-12Â°C,"Refrigeration, High humidity",3-5,"Vegan, Gluten-Free, Tropical",Vented bag,Yes (Requires high humidity to prevent spines drying)
Mangosteen,Very High (81%),10-13Â°C,Refrigeration,3-7,"Vegan, Gluten-Free, Tropical","Loose, Small basket",Yes (Rind can harden in low humidity)
Goji Berry,Low (10%),0-4Â°C,"Dried, Airtight container",180-365,"Vegan, Gluten-Free, Dried Fruit, Superfood",Airtight pouch,Yes (Must be kept dry to prevent clumping)
Quinoa,Low (13%),18-24Â°C,"Dry, Airtight container",730-1095,"Vegan, Gluten-Free, Grain, Superfood","Sealed bag, Box",Yes (Requires low humidity to prevent clumping/mold)
Brown Rice,Low (12%),18-24Â°C,"Dry, Airtight container",180-365,"Vegan, Gluten-Free, Grain","Sealed bag, Box",Yes (Requires low humidity to prevent spoilage)
Oats,Low (10%),18-24Â°C,"Dry, Airtight container",365-730,"Vegan, Grain","Canister, Bag, Box","Yes (Absorbs moisture, requires dry storage)"
Barley,Low (11%),18-24Â°C,"Dry, Airtight container",365-730,"Vegan, Grain","Bag, Airtight container",Yes (Requires low humidity)
Chickpeas (dried),Low (11%),18-24Â°C,"Dry, Airtight container",365-1095,"Vegan, Gluten-Free, Legume","Bag, Bulk bin",Yes (Requires low humidity)
Lentils (dried),Low (11%),18-24Â°C,"Dry, Airtight container",365-1095,"Vegan, Gluten-Free, Legume","Bag, Bulk bin",Yes (Requires low humidity)
Black Beans (dried),Low (11%),18-24Â°C,"Dry, Airtight container",365-1095,"Vegan, Gluten-Free, Legume","Bag, Bulk bin",Yes (Requires low humidity)
Kidney Beans (dried),Low (11%),18-24Â°C,"Dry, Airtight container",365-1095,"Vegan, Gluten-Free, Legume","Bag, Bulk bin",Yes (Requires low humidity)
Soybeans (dried),Low (8%),18-24Â°C,"Dry, Airtight container",365-730,"Vegan, Gluten-Free, Legume","Bag, Bulk bin",Yes (Requires low humidity)
Millet,Low (11%),18-24Â°C,"Dry, Airtight container",180-365,"Vegan, Gluten-Free, Grain","Bag, Airtight container",Yes (Requires low humidity)
Buckwheat,Low (12%),18-24Â°C,"Dry, Airtight container",180-365,"Vegan, Gluten-Free, Grain","Bag, Airtight container",Yes (Requires low humidity)
Wild Rice,Low (12%),18-24Â°C,"Dry, Airtight container",365-730,"Vegan, Gluten-Free, Grain","Bag, Airtight container",Yes (Requires low humidity)
Popcorn (kernels),Low (14%),18-24Â°C,"Dry, Airtight container",730,"Vegan, Gluten-Free, Grain","Jar, Airtight bag",Yes (Needs specific moisture level to pop)
Couscous,Low (12%),18-24Â°C,"Dry, Airtight container",180-365,Vegan,"Box, Airtight container",Yes (Requires low humidity)
Bulgur Wheat,Low (11%),18-24Â°C,"Dry, Airtight container",180-365,Vegan,"Box, Airtight container",Yes (Requires low humidity)
Almonds,Low (5%),0-7Â°C,"Refrigeration, Airtight container",365-730,"Vegan, Gluten-Free, Nut, High Fat","Sealed bag, Canister",Yes (Requires low humidity to prevent softening)
Walnuts,Low (4%),0-7Â°C,"Refrigeration, Airtight container",180-365,"Vegan, Gluten-Free, Nut, High Fat",Sealed bag,Yes (Absorbs moisture and odors easily)
Pecans,Low (4%),0-7Â°C,"Refrigeration, Airtight container",180-365,"Vegan, Gluten-Free, Nut, High Fat",Sealed bag,Yes (Requires low humidity to stay crisp)
Cashews,Low (5%),18-24Â°C,"Cool, dark, dry place, Airtight",180,"Vegan, Gluten-Free, Nut, High Fat","Sealed bag, Canister",Yes (Requires low humidity to prevent softening)
Pistachios,Low (5%),0-7Â°C,"Refrigeration, Airtight container",180-365,"Vegan, Gluten-Free, Nut, High Fat",Sealed bag,Yes (Requires low humidity to stay crisp)
Macadamia Nuts,Low (2%),0-7Â°C,"Refrigeration, Airtight container",180,"Vegan, Gluten-Free, Nut, High Fat","Sealed bag, Jar","Yes (High oil content, prone to rancidity)"
Chia Seeds,Low (6%),18-24Â°C,"Dry, Airtight container",730-1825,"Vegan, Gluten-Free, Seed, Superfood","Sealed pouch, Jar","Yes (Gels with moisture, must be kept dry)"
Flax Seeds,Low (7%),0-7Â°C,"Refrigeration, Airtight (ground)",180-365,"Vegan, Gluten-Free, Seed, Superfood",Airtight pouch,"Yes (Oils can go rancid, keep dry)"
Pumpkin Seeds,Low (5%),18-24Â°C,"Cool, dark, dry place, Airtight",90-180,"Vegan, Gluten-Free, Seed","Airtight bag, Jar",Yes (Requires low humidity to stay crisp)
Sunflower Seeds,Low (5%),18-24Â°C,"Cool, dark, dry place, Airtight",90-180,"Vegan, Gluten-Free, Seed","Airtight bag, Jar",Yes (Requires low humidity to stay crisp)
Tofu,Very High (88%),1-4Â°C,"Refrigeration, In water",5-7,"Vegan, Gluten-Free, Soy",Sealed plastic tub,Yes (Must be kept in liquid to stay moist)
Mushroom,Very High (92%),1-4Â°C,"Refrigeration, Paper bag",4-7,"Vegan, Gluten-Free, Fungi","Paper bag, Tray with wrap",Yes (Paper bag balances humidity)
Ginger,High (79%),12-14Â°C,Refrigeration or Cool/Dry place,21-30,"Vegan, Gluten-Free, Root",Loose,Yes (Can dry out or mold depending on humidity)
Turmeric,High (75%),12-14Â°C,Refrigeration or Cool/Dry place,14-21,"Vegan, Gluten-Free, Root",Loose,Yes (Can shrivel or mold)
Olive Oil,N/A (0%),14-18Â°C,"Cool, dark place, Sealed bottle",365-730,"Vegan, Gluten-Free, High Fat","Glass bottle, Tin",No (Not sensitive to air humidity)
Honey,Low (17%),18-24Â°C,"Room Temp, Airtight container",Indefinite,"Vegetarian, Gluten-Free","Glass jar, Plastic bottle",Yes (Hygroscopic - absorbs moisture from air)
Maple Syrup,Medium (34%),1-4Â°C,Refrigeration after opening,365,"Vegan, Gluten-Free","Glass bottle, Tin",Yes (Can mold if not refrigerated after opening)
Dark Chocolate,Low (1%),15-18Â°C,"Cool, dark, dry place",365-730,"Vegan, High Fat","Foil wrap, Box",Yes (Humidity can cause sugar bloom)
Coffee Beans,Low (3%),18-24Â°C,"Airtight, dark container",30-90,"Vegan, Gluten-Free","Valved bag, Canister","Yes (Absorbs moisture, affecting flavor)"
Green Tea (leaves),Low (3%),18-24Â°C,"Airtight, dark container",180-365,"Vegan, Gluten-Free","Tin, Sealed pouch",Yes (Absorbs moisture and odors)
food_name,moisture_content,ideal_temp,preservation_methods,shelf_life_days,dietary_tag,packaging_type,humidity_sensitive
--- Fresh Herbs ---,,,,,,,
Basil,Very High (92%),4-7Â°C,"Stand in water (room temp), or refrigerate",5-10,"Vegan, Gluten-Free, Herb","Bunch, Clamshell","Yes (Wilts easily, needs humidity)"
Cilantro,Very High (92%),0-2Â°C,"Refrigerate, Stand in water",7-14,"Vegan, Gluten-Free, Herb","Bunch, Bag",Yes (Very prone to wilting)
Parsley,Very High (88%),0-2Â°C,"Refrigerate, Stand in water",10-14,"Vegan, Gluten-Free, Herb","Bunch, Bag",Yes (Wilts in low humidity)
Mint,Very High (86%),0-2Â°C,Refrigerate in a damp paper towel,7-10,"Vegan, Gluten-Free, Herb","Bunch, Clamshell",Yes (Requires high humidity)
Rosemary,Medium (68%),0-4Â°C,Refrigerate in a bag,14-21,"Vegan, Gluten-Free, Herb","Bunch, Clamshell",No (Woody stems are resilient)
Thyme,Medium (65%),0-4Â°C,Refrigerate in a bag,10-14,"Vegan, Gluten-Free, Herb","Bunch, Clamshell",No (Less sensitive than leafy herbs)
Dill,Very High (86%),0-2Â°C,Refrigerate in a bag,7-14,"Vegan, Gluten-Free, Herb","Bunch, Clamshell",Yes (Very prone to wilting)
--- Dairy & Alternatives ---,,,,,,,
Cow's Milk,Very High (88%),1-4Â°C,Refrigeration,5-7 (after opening),"Dairy, Vegetarian","Carton, Jug",No (Sealed container protects it)
Cheddar Cheese,Medium (37%),1-4Â°C,"Refrigeration, Wrap tightly",21-60,"Dairy, Vegetarian","Plastic wrap, Wax paper",Yes (Can dry out or mold)
Mozzarella (Fresh),High (60%),1-4Â°C,"Refrigeration, In brine",5-7,"Dairy, Vegetarian",Tub with brine,Yes (Must be kept moist)
Yogurt,Very High (85%),1-4Â°C,Refrigeration,7-14,"Dairy, Vegetarian","Plastic cup, Tub",No (Sealed container protects it)
Butter,Low (16%),1-4Â°C,"Refrigeration, Airtight",30-90,"Dairy, Vegetarian","Foil wrap, Tub","Yes (Absorbs odors, can spoil)"
Eggs,High (76%),1-4Â°C,"Refrigeration, in carton",21-35,Vegetarian,Carton,"Yes (Shells are porous, can lose moisture)"
Almond Milk,Very High (95%),1-4Â°C,Refrigeration after opening,7-10,"Vegan, Dairy-Free",Carton,No (Sealed container protects it)
Oat Milk,Very High (90%),1-4Â°C,Refrigeration after opening,7-10,"Vegan, Dairy-Free",Carton,No (Sealed container protects it)
--- Meats & Seafood ---,,,,,,,
Chicken Breast,High (75%),0-4Â°C,"Refrigeration, Use or freeze quickly",1-2,"Poultry, Gluten-Free","Butcher paper, Tray pack",Yes (Must be kept dry to prevent bacteria)
Ground Beef,High (65%),0-4Â°C,"Refrigeration, Use or freeze quickly",1-2,"Meat, Gluten-Free","Tray pack, Butcher paper",Yes (High spoilage risk)
Pork Chop,High (70%),0-4Â°C,"Refrigeration, Use or freeze quickly",2-3,"Meat, Gluten-Free","Butcher paper, Tray pack",Yes (Surface moisture affects quality)
Bacon,Low (20%),0-4Â°C,Refrigeration,7-14 (unopened),"Meat, Cured",Vacuum-sealed pack,No (Curing protects it)
Salmon Fillet,High (69%),0-2Â°C,"Refrigeration on ice, Use quickly",1-2,"Seafood, Gluten-Free","Plastic wrap, Butcher paper",Yes (Very perishable)
Shrimp (Raw),High (78%),0-2Â°C,"Refrigeration on ice, Use quickly",1-2,"Seafood, Gluten-Free",Bag on ice,Yes (Highly perishable)
Canned Tuna,Medium (60%),18-24Â°C,"Cool, dark, dry place",730-1825,Seafood,"Can, Pouch",No (Canning preserves it)
--- Pantry Staples ---,,,,,,,
All-Purpose Flour,Low (12%),18-24Â°C,"Cool, dry, airtight container",180-365,"Vegan, Grain","Paper bag, Canister",Yes (Must be kept dry)
Granulated Sugar,Low (<1%),18-24Â°C,"Cool, dry, airtight container",Indefinite,"Vegan, Gluten-Free","Paper bag, Canister",Yes (Will clump if it absorbs moisture)
Salt,Low (<1%),18-24Â°C,"Cool, dry place",Indefinite,"Vegan, Gluten-Free","Box, Shaker",Yes (Will clump if it absorbs moisture)
Dry Pasta,Low (12%),18-24Â°C,"Cool, dry place",365-730,Vegan,"Box, Bag",Yes (Becomes brittle or soft with humidity)
White Bread,Medium (36%),18-24Â°C,"Room temp, Bread box",3-5,"Vegan, Grain",Plastic bag,"Yes (Goes stale in low humidity, molds in high)"
Peanut Butter,Low (2%),18-24Â°C,"Cool, dark place, refrigerate after opening",90-180,"Vegan, High Fat",Jar,No (Oil separation is the main issue)
Ketchup,High (70%),1-4Â°C,Refrigerate after opening,180-365,"Vegan, Gluten-Free",Bottle,No (Acidity and sugar preserve it)
Soy Sauce,High (68%),18-24Â°C,"Cool, dark place, can refrigerate",365-1095,Vegan,Bottle,No (High salt content preserves it)
Canned Beans,High (75%),18-24Â°C,"Cool, dark, dry place",730-1825,"Vegan, Gluten-Free",Can,No (Canning preserves it)
Baking Soda,Low (<1%),18-24Â°C,"Cool, dry place",730,"Vegan, Gluten-Free",Box,Yes (Absorbs moisture and odors)
--- Uncommon Produce ---,,,,,,,
Celeriac,Very High (88%),0-2Â°C,"Refrigeration, High humidity",21-30,"Vegan, Gluten-Free, Root","Loose, Plastic bag",Yes (Requires high humidity to stay firm)
Romanesco,Very High (92%),0Â°C,"Refrigeration, High humidity",5-7,"Vegan, Gluten-Free, Cruciferous",Plastic wrap,Yes (High humidity prevents drying)
Pattypan Squash,Very High (94%),7-10Â°C,"Refrigeration, Dry",3-5,"Vegan, Gluten-Free, Gourd",Loose,Yes (Delicate skin can lose moisture)
Chayote Squash,Very High (94%),10Â°C,"Cool, dry place with good ventilation",14-30,"Vegan, Gluten-Free, Gourd",Loose,Yes (Can shrivel in low humidity)
Daikon Radish,Very High (95%),0-2Â°C,"Refrigeration, Wrapped",14-21,"Vegan, Gluten-Free, Root",Plastic wrap,Yes (Prone to moisture loss)
Jerusalem Artichoke,High (79%),0-2Â°C,"Refrigeration, Vented bag",10-14,"Vegan, Gluten-Free, Root",Vented bag,Yes (Can shrivel quickly)
Lemongrass,High (70%),4-7Â°C,"Refrigeration, Wrapped",14-21,"Vegan, Gluten-Free, Herb",Wrapped in paper towel,Yes (Prone to drying out)
Shallot,High (78%),0-2Â°C,"Cool, dark, dry place with good ventilation",30-60,"Vegan, Gluten-Free, Allium",Mesh bag,Yes (Requires low humidity to prevent rot)
Tomatillo,Very High (92%),7-10Â°C,"Refrigeration, In husk, in paper bag",14-21,"Vegan, Gluten-Free, Fruit","Husk, Paper bag","Yes (Husk protects, but can get sticky)"
Edamame (in pod),High (75%),0-2Â°C,Refrigeration,3-5,"Vegan, Gluten-Free, Legume",Vented bag,Yes (Pods can dry out)
Salsify,High (77%),0Â°C,"Refrigeration, High humidity",14-21,"Vegan, Gluten-Free, Root",Perforated plastic bag,Yes (Requires humidity to stay firm)
Cassava (Yuca),Medium (60%),7-10Â°C,"Cool, dark, dry place",7-10,"Vegan, Gluten-Free, Root","Wax coated, Loose",Yes (Very sensitive to drying and mold)
Taro Root,Medium (65%),10-13Â°C,"Cool, dark, well-ventilated place",14-30,"Vegan, Gluten-Free, Root",Loose,Yes (Requires low humidity)
Parsley Root,High (78%),0Â°C,"Refrigeration, High humidity",21-30,"Vegan, Gluten-Free, Root",Perforated plastic bag,Yes (Prone to going limp in dry conditions)